#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
NE Kearney	77600	18118	8.5	6882	-0.2	16.7	1842	50.4	88.5	21.3	84	26.8	76.4	319771
NE Keith	69300	17421	9.3	8875	-0.4	18.4	2243	50.9	86.6	16.8	134	25.3	77.4	606891
NE Keya Paha	28200	11860	26.9	983	-3.6	20.7	234	49.6	82.2	15.7	13	23.8	77	499714
NE Kimball	49400	17525	11.1	4089	-1.6	21	1010	51.1	84.6	13.5	37	24.7	76.4	565199
NE Knox	42100	13971	15.6	9374	-2.2	23.1	2393	50.8	82	14.4	169	25.5	77.4	595537
NE Lancaster	105900	21265	9.5	250291	0.7	10.4	58828	50	90.5	32.6	3397	23.5	77.6	421089
NE Lincoln	78200	18696	9.7	34632	-0.3	15.1	9085	50.9	86.3	16.2	572	26.2	76.6	1420421
NE Logan	51700	14937	10.5	774	0.3	17.6	211	50.3	90.8	10.5	10	27.3	77.3	322965
NE Loup	27500	12427	17.7	712	-0.4	19.5	190	47.9	91.8	13.3	9	26.7	77.3	339195
NE McPherson	40900	13055	16.2	533	0.6	18.2	147	50.1	88.6	22.2	3	27.6	77.3	443334
NE Madison	80100	16804	11.2	35226	0.9	14.4	9450	50.4	82.6	17	851	26.8	76.8	329419
NE Merrick	62700	15958	8.9	8204	-1.4	17.5	2260	51	85.3	14.9	108	27.5	77.8	273892
NE Morrill	49500	14725	14.7	5440	-1.4	17	1480	50.5	79.4	14.3	109	27.2	76.4	860864
NE Nance	45500	16886	13.1	4038	-1.7	19.7	1126	49	80.6	11.4	56	27.9	76.8	244292
NE Nemaha	58200	17004	12.6	7576	-1.6	18.4	1756	51.7	85.5	22.9	175	23.2	76.7	239209
NE Nuckolls	33000	15608	11.2	5057	-1.4	24.4	1184	51.9	84.5	13.1	50	23.4	77.1	327445
NE Otoe	78100	17752	8.1	15396	0.7	18.3	4050	51	85.6	18.1	237	26.3	76.7	354430
NE Pawnee	30300	16687	11	3087	-2.3	27.1	700	52	83.7	14.4	48	22.7	76.7	229566
NE Perkins	52200	17830	13.6	3200	-1.5	19.3	852	49.8	87.1	17.6	40	26.6	77.4	552882
NE Phelps	71400	19044	8.9	9747	-0.4	18.1	2584	51	89.1	20.4	108	26.5	76.4	378814
NE Pierce	59900	15980	11.8	7857	-0.5	17.2	2276	50	84.6	13.3	122	29	75.8	308822
NE Platte	80800	18064	7.7	31662	-1	13.8	9184	50.4	84.7	17.2	595	29	78.1	420028
NE Polk	57800	17934	5.8	5639	-1.6	21.4	1418	49.9	86.6	13.5	48	25.1	77.8	258541
NE Red Willow	58900	16303	9.6	11448	-0.3	19	2847	51.6	87.9	15.2	166	24.9	76.9	436360
NE Richardson	38900	16460	10.1	9531	-3.2	21.5	2434	51.7	81.8	13.6	251	25.5	76.7	318617
NE Rock	37800	14350	21.8	1756	-1.6	22.3	404	52	87.4	12.2	37	23	77	631119
NE Saline	69000	16287	9.4	13843	0	17.2	3481	50.6	81.2	14	140	25.1	77.5	317517
NE Sarpy	112100	21985	4.2	122595	2.6	6.6	37367	50.3	93.3	30.2	1289	30.5	77.4	101682
NE Saunders	87800	18392	6.6	19830	1.3	15.3	5532	50.2	86.8	16.9	288	27.9	76.9	435865
NE Scotts Bluff	71500	17355	14.5	36951	-0.9	17.2	9588	52.3	79.6	17.3	783	25.9	75.8	442909
NE Seward	88100	18379	7	16496	-0.6	15.2	4079	49.2	87.5	22.6	242	24.7	78	320618
NE Sheridan	41700	14844	13.2	6198	-3.2	21.7	1587	51	86.1	17.2	87	25.6	76.8	1486934
NE Sherman	38000	14064	12.9	3318	-2	23.1	814	50.8	82	10.8	44	24.5	77.3	323887
NE Sioux	42600	15999	15.4	1475	-5.2	16.2	359	47.4	86.4	21.5	15	24.3	76.8	1114619
NE Stanton	67200	15511	6.8	6455	-0.5	13.5	1922	50.4	86.2	13.7	102	29.8	78.4	226389
NE Thayer	38800	17043	10.7	6055	-3.2	24.5	1459	51.1	80.9	15	71	24.1	77.1	368478
NE Thomas	34300	15335	14.3	729	-3.3	20.3	172	50.1	83.7	17.2	27	23.6	77.3	368521
NE Thurston	50600	10951	25.6	7171	-1.1	13.2	2642	50.1	80.4	12	315	36.8	75.8	188969
NE Valley	45000	14996	12.8	4647	-1.1	24	1147	52.2	84.7	16.4	64	24.7	77.3	332590
NE Washington	114300	21055	6	18780	2.2	12.9	5086	50.3	89.7	22.7	231	27.1	78.1	219165
NE Wayne	76700	14644	14.5	9851	-1.9	13.7	2131	52	87	28	223	21.6	75.8	257207
NE Webster	38300	16802	11.2	4061	-1.1	24.3	957	51.9	83.6	13.7	41	23.6	77.1	313779
NE Wheeler	35000	14354	20.9	886	-3.2	16.8	258	51	90.8	14.9	14	29.1	77.3	292780
NE York	74900	17670	8.5	14598	-1.6	17.4	3691	52.2	87.2	17	136	25.3	77.8	352961
NV Churchill	117100	19264	8.7	23982	0.3	11.9	6935	49.8	85.1	16.7	801	28.9	73.9	129058
NV Clark	139500	21785	10.8	1375765	6.5	10.7	351770	49.1	79.5	17.3	28675	25.6	74.5	70741
NV Douglas	181800	27288	7.3	41259	3.4	15.2	9910	49.5	91.6	23.2	852	24	76.9	90372
NV Elko	123100	18482	8.9	45291	0	5.9	14699	47.9	79.1	14.8	1059	32.5	76.1	2855472
NV Esmeralda	75600	18971	15.3	971	0.7	17.2	199	44.7	78.9	9.6	67	20.5	73.9	27454
NV Eureka	89200	18629	12.6	1651	-1.2	12.4	459	48.4	76.7	13.6	38	27.8	74.4	214966
NV Humboldt	117400	19539	9.7	16106	-4.9	7.5	5062	47.6	78.3	14.2	509	31.4	74.4	733418
NV Lander	82400	16998	12.5	5794	-5.4	7	1863	48.7	79.2	10.8	238	32.2	74.4	486017
NV Lincoln	80300	17326	16.5	4165	0.8	16.2	1255	48.1	83	15.1	63	30.1	74.8	48897
NV Lyon	119200	18543	10.4	34501	6.6	13.7	9345	49.4	81.5	11.3	1066	27.1	73.9	174448
NV Mineral	59500	16952	15.2	5071	-3.6	19.8	1237	49.6	77.1	10.1	166	24.4	73.9	
NV Nye	122100	17962	10.7	32485	4.9	18.4	7706	48.7	79.2	10.1	742	23.7	74.8	85534
NV Pershing	82200	16589	11.4	6693	-1.4	7.8	1719	38.6	75.9	8.7	83	25.7	74.4	119435
NV Storey	134800	23642	5.8	3399	2	13.1	669	48.2	86.7	18	59	19.7	75.2	
NV Washoe	161600	24277	10	339486	4.1	10.5	84480	49.3	83.9	23.7	6423	24.9	75.2	772115
NV White Pine	70000	18309	11	9181	-4.5	13.5	2220	43.8	82	11.8	121	24.2	74.4	247446
NV Carson City	147500	20943	10	52457	2.8	14.9	12271	48.3	82.5	18.5	902	23.4		7224
NH Belknap	109600	22758	6.1	56325	3.7	15.1	13319	50.7	85.7	23.3	713	23.6	75.6	20612
NH Carroll	119900	21931	7.9	43666	2.2	17.8	9882	50.9	88.2	26.5	539	22.6	76.3	24155
NH Cheshire	105300	20685	8	73825	0.6	13.7	17197	51.3	86.2	26.6	1036	23.3	76.8	41651
NH Coos	70500	17218	10	33111	-0.4	18.5	7558	51.1	76.9	11.9	692	22.8	75.6	42931
NH Grafton	109500	22227	8.6	81743	0.6	13.4	17890	50.8	87.7	32.7	826	21.9	76.6	75883
NH Hillsborough	139100	25198	6.3	380841	1.8	10.6	100221	50.7	87	30.1	5540	26.3	76.5	37572
NH Merrimack	117900	23208	5.9	136225	2.3	12.4	33940	50.8	88.2	29.1	1567	24.9	76.8	63417
NH Rockingham	164900	26656	4.5	277359	2.4	10.1	73329	50.7	90.5	31.7	5192	26.4	77	35465
NH Strafford	121000	20479	9.2	112233	2.1	11.2	26572	51.5	86.4	26.4	1380	23.7	76.9	26078
NH Sullivan	91900	21319	8.5	40458	1.4	15.8	9654	50.7	83	19.7	582	23.9	76.2	47267
NJ Atlantic	122000	21034	10.5	252552	1.2	13.6	63855	51.7	78.2	18.7	9201	25.3	73.8	31050
NJ Bergen	250300	33638	5	884118	0.3	15.2	203054	51.9	86.6	38.2	16381	23	77.3	2633
NJ Burlington	137400	26339	4.7	423394	2.1	12.6	106521	50.5	87.2	28.4	7528	25.2	76.1	103667
NJ Camden	111200	22354	10.4	508932	0.1	12.5	136148	51.7	80.3	24	12023	26.8	74.3	9007
NJ Cape May	137600	24172	8.6	102326	0	20.2	22859	51.9	81.9	22	4610	22.3	75.1	9669
NJ Cumberland	91200	17376	15	146438	-0.1	13	37203	49	68.5	11.7	5502	25.4	73.8	66288
NJ Essex	208400	24943	15.6	793633	-0.1	11.9	206950	52.4	75.6	27.5	21031	26.1	71.1	
NJ Gloucester	120100	22708	6.2	254673	1.8	11.7	67129	51.6	84.3	22	5893	26.4	75.2	58373
NJ Hudson	150300	21154	15.5	608975	-0.2	11.4	137498	50.9	70.5	25.3	20534	22.6	72.7	0
NJ Hunterdon	245000	36370	2.6	121989	2.6	10	31374	50.6	91.5	41.8	1453	25.7	78.1	105230
NJ Mercer	147400	27914	8.6	350761	0.8	12.6	84337	51.3	81.8	34	6692	24	74.9	28391
NJ Middlesex	168500	26535	6.6	750162	0.9	12.3	177628	50.9	84.4	33	15217	23.7	75.9	28100
NJ Monmouth	203100	31149	6.3	615301	1.2	12.5	160342	51.4	87.9	34.6	12283	26.1	75.6	59405
NJ Morris	257400	36964	3.9	470212	0.6	11.6	116838	51.1	90.6	44.1	7331	24.8	77.5	22351
NJ Ocean	131300	23054	7	510916	3.2	22.2	119046	52.5	83	19.5	9754	23.3	76.5	11381
NJ Passaic	190600	21370	12.3	489049	0.4	12.1	127486	51.5	73.3	21.2	14650	26.1	74.3	2232
NJ Salem	105200	20874	9.5	64285	0.1	14.5	16450	51.7	79.4	15.2	1504	25.6	74.8	92047
NJ Somerset	235000	37970	3.8	297490	1.5	11.2	75991	51.2	89.6	46.5	4136	25.5	77.8	46258
NJ Sussex	157700	26992	4	144166	1.7	9.1	40218	50.5	89.8	27.2	2636	27.9	76.2	73001
NJ Union	188800	26992	8.4	522541	0.2	13.8	129941	51.9	79.3	28.5	12800	24.9	75.3	
NJ Warren	155500	25728	5.4	102437	3.2	12.9	26690	51.3	84.9	24.4	2141	26.1	76.2	82900
NM Bernalillo	128300	20790	13.7	556678	1	11.5	141020	51.2	84.4	30.5	10931	25.3	76.3	464801
NM Catron	82000	13951	24.5	3543	-0.9	18.8	747	48.9	78.4	18.4	109	21.1	75.5	1795362
NM Chaves	61000	14990	21.3	61382	-1.8	14.7	17864	51	72.6	16.2	2072	29.1	75.3	2944354
NM Cibola	62600	11731	24.8	25595	1.1	10.7	7845	51.1	75	12	875	30.7	74.7	1699341
NM Colfax	76600	16418	14.8	14189	-0.3	16.9	3562	49.3	80.8	18.5	361	25.1	76.1	2227155
NM Curry	64700	15049	19	45044	-1.8	11.5	13561	50.6	78.4	15.3	782	30.1	76.4	947748
NM DeBaca	45800	14065	17.7	2240	-4.6	25.4	540	51	72.3	16.2	42	24.1	75.8	1441609
NM Dona Ana	90900	13999	25.4	174682	1.2	10.6	51901	50.9	70	22.3	5153	29.7	77.5	581436
NM Eddy	64200	15823	17.2	51658	-1.1	14.7	14907	51	75	13.5	1896	28.9	75	1275527
NM Grant	87900	14597	18.7	31002	-0.9	16.5	8138	51.3	79.4	20.5	1072	26.2	75.9	1173599
NM Guadalupe	52100	11241	21.6	4680	-1.7	13.8	1140	45.1	68.3	10.3	150	24.4	75.8	1418966
NM Harding	27300	16240	16.3	810	-4.7	28.3	164	49.4	72.2	18.1	14	20.2	76.1	1254877
NM Hidalgo	53900	12431	27.3	5932	-5.4	13.6	1882	50.1	68.8	9.9	240	31.7	75.1	1104820
NM Lea	50100	14184	21.1	55511	-0.7	12.2	16687	49.9	67.1	11.6	2191	30.1	74.7	2001931
NM Lincoln	108400	19338	14.9	19411	1.6	17.9	4414	51	84.5	22.8	299	22.7	74.8	1975017
NM Los Alamos	228300	34646	2.9	18343	-3	12.1	4733	49.6	96.3	60.5	159	25.8	77.6	
NM Luna	66000	11218	32.9	25016	-0.1	18.2	7505	51.2	59.8	10.4	2680	30	75.1	603428
NM McKinley	57000	9872	36.1	74798	0.3	6.9	28411	51.7	65.2	12	1761	38	72.3	3157138
NM Mora	75900	12340	25.4	5180	1.1	15.4	1383	49.5	69.8	15.5	286	26.7	76.1	974759
NM Otero	78800	14345	19.3	62298	-2.5	11.7	18352	50.2	81	15.4	933	29.5	75.6	1081057
NM Quay	54000	14938	20.9	10155	-3.2	19	2541	51.6	73.8	13.7	170	25	75.8	1855726
NM Rio Arriba	107500	14263	20.3	41190	-1	10.9	11774	50.5	73	15.4	1413	28.6	73.9	1463396
NM Roosevelt	54900	14185	22.7	18018	0.6	12.1	5060	50.9	75.2	22.6	251	28.1	75.8	1419250
NM Sandoval	115400	19174	12.1	89908	4.4	10.6	26590	51.2	86	24.8	1740	29.6	77.2	779766
NM San Juan	91300	14282	21.5	113801	1.4	9.1	37133	50.4	76.8	13.5	3716	32.6	75.2	
NM San Miguel	90100	13268	24.4	30126	0.1	11.7	8269	50.8	74.5	21.2	824	27.4	74.8	2556803
NM Santa Fe	189400	23594	12	129292	1.3	10.8	31101	51.1	84.5	36.9	1809	24.1	77.6	651977
NM Sierra	77800	15023	20.9	13270	-0.6	27.7	2666	50	76.1	13.1	128	20.1	74.8	1286887
NM Socorro	80900	12826	31.7	18078	-1.2	10.9	5131	49.2	72.1	19.4	333	28.4	75.5	1650979
NM Taos	150400	16103	20.9	29979	1.2	12.3	7341	51	79.1	25.9	1487	24.5	76.2	310284
NM Torrance	82800	14134	19	16911	-0.7	9.7	5135	48.7	77.1	14.4	309	30.4	75.5	1477127
NM Union	49800	14700	18.1	4174	-3.6	17.8	1141	50.8	79.9	13	46	27.3	76.1	2227347
NM Valencia	108300	14747	16.8	66152	1.2	10.2	19936	49.8	76.1	14.8	1290	30.1	74.7	383531
NY Albany	116300	23345	10.6	294565	-0.2	14.5	66477	52.2	86.3	33.3	4562	22.6	75.8	56782
NY Allegany	50400	14975	15.5	49927	-0.1	14	12194	50	83.2	17.2	1796	24.4	76.4	157744
NY Bronx	190400	13959	30.7	1332650	0.4	10.1	397372	53.5	62.3	14.6	37569	29.8	69.8	0
NY Broome	75800	19168	12.8	200536	-0.6	16.4	46095	51.8	83.8	22.7	4077	23	76.2	85804
NY Cattaraugus	60800	15959	13.7	83955	-0.7	14.6	21963	51	81.2	14.9	2980	26.2	75.6	192015
NY Cayuga	75300	18003	11.1	81963	-0.7	14.4	20563	49.5	79.1	15.5	1985	25.1	75.8	251820
NY Chautauqua	64000	16840	13.8	139750	-0.8	16	34231	51.2	81.2	16.9	3433	24.5	75.9	244921
NY Chemung	67200	18264	13	91070	-0.4	15.6	22210	50.6	82.1	18.6	2175	24.4	75.9	59272
NY Chenango	62700	16427	14.4	51401	-0.5	14.9	13461	50.8	80.6	14.4	1426	26.2	75.7	183312
NY Clinton	84200	17946	13.9	79894	0.2	11.9	18348	48.8	76.4	17.8	2621	23	76.3	148677
NY Columbia	111800	22265	9	63094	0.2	16.4	15184	50.2	81	22.6	1056	24.1	76.5	114883
NY Cortland	74700	16622	15.5	48599	-0.3	12.5	11506	51.7	82.8	18.8	1584	23.7	75.7	120838
NY Delaware	74200	17357	12.9	48055	-1.1	18.6	11084	50.8	79.9	16.6	1101	23.1	75.6	183667
NY Dutchess	154200	23940	7.5	280150	1.5	12	70268	50	84	27.6	4184	25.1	75.9	106749
NY Erie	90800	20357	12.2	950265	-0.6	15.9	230550	52.2	82.9	24.5	24169	24.3	74.8	143234
NY Essex	77100	18194	11.6	38851	-0.1	16	8858	48.2	80.4	18.3	1568	22.8	75.2	48196
NY Franklin	62600	15888	14.6	51134	-0.5	12.8	11645	45.1	69.7	13	1743	22.8	74.7	163017
NY Fulton	67400	16844	12.5	55073	-0.1	16.3	13688	50.7	77.8	13.5	1639	24.9	75.9	34291
NY Genesee	83200	18498	7.6	60370	-0.6	14.3	15730	50.8	84.4	16.3	1681	26.1	76.3	170878
NY Greene	92400	18931	12.2	48195	0.3	15.7	11092	48.4	78.6	16.4	1185	23	75.8	48770
NY Hamilton	86700	18643	10.4	5379	-1.3	20	1059	50	83.4	18.4	273	19.7	75.2	788
NY Herkimer	67500	16141	12.5	64427	-0.6	16.8	15692	51.5	79.4	15.7	1653	24.4	76.3	141847
NY Jefferson	68200	16202	13.3	111738	-2	11.3	29574	48.2	82.9	16	4077	26.5	75.7	291103
NY Kings	224100	16775	25.1	2465326	0	11.5	662499	53.1	68.8	21.8	75706	26.9	71.7	8
NY Lewis	63600	14971	13.2	26944	-0.5	13.8	7494	50.3	81	11.7	1098	27.8	76.1	179696
NY Livingston	88800	18062	10.4	64328	0.3	11.4	15063	49.8	82.3	19.2	1740	23.4	76.7	197408
NY Madison	81500	19105	9.8	69441	0.4	12.5	17307	50.9	83.3	21.6	1681	24.9	76.4	185924
NY Monroe	98700	22821	11.2	735343	-0.2	13	188256	51.8	84.9	31.2	15052	25.6	76.5	103097
NY Montgomery	67600	17005	12	49708	-0.8	19.2	12164	52.2	78.1	13.6	1513	24.5	76.2	134940
NY Nassau	242300	32151	5.2	1334544	0	15	329079	51.9	86.7	35.4	20824	24.7	76.5	1390
NY New York	1000001	42922	20	1537195	0.3	12.2	257916	52.5	78.7	49.4	47013	16.8	72.1 0	
NY Niagara	82700	19219	10.6	219846	-0.6	15.4	54237	51.7	83.3	17.4	6749	24.7	75.6	127355
NY Oneida	76500	18516	13	235469	-0.8	16.5	56244	50.3	79	18.3	4576	23.9	75.6	216094
NY Onondaga	85400	21336	12.2	458336	-0.1	13.8	118081	52.2	85.7	28.5	8195	25.8	76.2	147109
NY Ontario	94100	21533	7.3	100224	0.7	13.2	25475	51.1	87.4	24.7	2268	25.4	76.6	185924
NY Orange	144500	21597	10.5	341367	2.2	10.3	99156	49.9	81.8	22.5	5552	29	75.3	94771
NY Orleans	72600	16457	10.8	44171	-0.7	12.4	11559	50.4	76.4	13	1132	26.2	75.6	143397
NY Oswego	74200	16853	14	122377	-0.1	11.3	32748	50.6	80.4	14.4	3677	26.8	75	102537
NY Otsego	75900	16806	14.9	61676	-0.4	15	13975	51.8	83	22	1681	22.7	76.8	206985
NY Putnam	206900	30127	4.4	95745	1.5	9.6	25374	50.1	90.2	33.9	1598	26.5	76.6	3433
NY Queens	212600	19222	14.6	2229379	-0.2	12.7	509224	51.8	74.4	24.3	58941	22.8	75	0
NY Rensselaer	102900	21095	9.5	152538	0	13.6	36972	51	84.9	23.7	3177	24.2	75.6	98965
NY Richmond	209100	23905	10	443728	1.4	11.6	113258	51.7	82.6	23.2	11384	25.5	74.2	29
NY Rockland	242500	28082	9.5	286753	0.6	11.8	80286	51.2	85.3	37.5	5134	28	76.4	561
NY St.Lawrence	60200	15728	16.9	111931	-0.7	13	26221	49.2	79.2	16.4	4334	23.4	75.1	396406
NY Saratoga	120400	23945	5.7	200635	1.9	11.5	50248	50.7	88.2	30.9	3432	25	76.9	72928
NY Schenectady	94500	21992	10.9	146555	-0.4	16.6	35662	51.9	84.8	26.3	2588	24.3	76.2	18168
NY Schoharie	82500	17778	11.4	31582	-0.3	14.9	7569	50.2	81.7	17.3	810	24	76.4	110773
NY Schuyler	68400	17039	11.8	19224	0.2	14.6	4873	49.9	82.4	15.5	530	25.3	76.6	65281
NY Seneca	72400	17630	11.5	33342	0.4	15.1	8273	50	79.1	17.5	876	24.8	76.8	117426
NY Steuben	66200	18197	13.2	98726	0.5	15.2	25699	51	82.8	17.9	2755	26	75.6	348971
NY Suffolk	185200	26577	6	1419369	1.4	11.8	370081	51	86.2	27.5	26406	26.1	75.6	35858
NY Sullivan	93300	18892	16.3	73966	0.2	14.3	18452	49.1	76.2	16.7	1856	24.9	73.4	58067
NY Tioga	77400	18673	8.4	51784	-0.3	13.1	14007	50.6	84.8	19.7	1010	27	77	109356
NY Tompkins	101600	19659	17.6	96501	0	9.6	18296	50.6	91.4	47.5	1447	19	77.3	95451
NY Ulster	113100	20846	11.4	177749	0.2	13.3	41771	50.2	81.7	25	2963	23.5	75.4	68989
NY Warren	97500	20727	9.7	63303	1	15.2	15192	51.5	84.6	23.2	1594	24	76.3	9187
NY Washington	77400	17958	9.4	61042	0	14	15028	48.7	79.2	14.3	1351	24.6	75.5	194962
NY Wayne	85700	19258	8.6	93765	0.1	12.2	25715	50.5	82.3	17	2534	27.4	75.9	167190
NY Westchester	325800	36726	8.8	923459	0.6	14	230797	52.2	83.6	40.9	15421	25	76.8	7528
NY Wyoming	74000	17248	8.4	43424	-1	12.2	10444	45.8	75.6	11.5	1501	24.1	75.9	194902
NY Yates	75600	16781	13.1	24621	-0.2	15.5	6568	51.2	80	18.2	559	26.7	76.6	104790
NC Alamance	107200	19391	11.1	130800	1.9	14.1	31154	52	76.5	19.2	1568	23.8	75.1	107801
NC Alexander	95600	18507	8.5	33603	1.3	11.9	8234	50.2	68.7	9.3	363	24.5	75.6	59826
NC Alleghany	89700	17691	17.2	10677	0.8	19.2	2073	50.7	68	11.7	179	19.4	75.3	85964
NC Anson	64300	14853	17.8	25275	0.2	14.4	6378	50.9	70.2	9.2	714	25.2	72.1	81984
NC Ashe	91600	16429	13.5	24384	1.4	18	4827	50.7	68.6	12.1	727	19.8	76.3	104922
NC Avery	88000	15176	15.3	17167	1.3	15.7	3336	47.2	70.6	14.5	256	19.4	76.1	27037
NC Beaufort	81900	16722	19.5	44958	0.6	15.9	10522	52.3	75	16	1473	23.4	73.3	155460
NC Bertie	59200	14096	23.5	19773	0.2	16	5163	53.3	63.8	8.8	472	26.1	72.1	154338
NC Bladen	65200	14735	21	32278	0.7	14.2	7948	51.9	70.6	11.3	971	24.6	71.6	128231
NC Brunswick	127400	19857	12.6	73143	5.4	16.9	15509	50.8	78.3	16.1	1370	21.2	74.9	36770
NC Buncombe	119600	20384	11.4	206330	1.2	15.4	45129	52	81.9	25.3	2235	21.9	75.6	87382
NC Burke	85900	17397	10.7	89148	0.2	13.4	21372	50	67.6	12.8	1040	24	75.1	29373
NC Cabarrus	118200	21121	7.1	131063	4.1	11.6	33782	50.8	78.2	19.1	1304	25.8	75.5	63102
NC Caldwell	86700	17353	10.7	77415	0.9	13.3	18149	50.6	66.2	10.4	717	23.4	75.1	37050
NC Camden	103100	18681	10.1	6885	3.1	13.6	1685	50.4	82.1	16.2	79	24.5	73.7	51685
NC Carteret	123900	21260	10.7	59383	0.9	17.2	12297	50.9	82.1	19.8	1130	20.7	75.3	59869
NC Caswell	80800	16470	14.4	23501	0.8	13	5452	49.4	69.2	8.3	274	23.2	74.3	137873
NC Catawba	103000	20358	9.1	141685	2.4	12.3	34392	50.7	74.8	17	1421	24.3	74.8	72264
NC Chatham	127200	23355	9.7	49329	4.7	15.3	11084	50.8	77.9	27.6	446	22.5	75.9	112923
NC Cherokee	86000	15814	15.3	24298	1.4	19.7	4999	51.5	73.3	11	781	20.6	75.6	24533
NC Chowan	85200	15027	17.6	14526	0.2	17.9	3476	53.2	73.1	16.4	193	23.9	73.5	51341
NC Clay	99800	18221	11.4	8775	3.5	22.7	1628	51.3	76.5	15.4	123	18.6	75.6	18288
NC Cleveland	83200	17395	13.3	96287	1.2	13.5	24218	51.9	72.2	13.3	2202	25.2	73.7	104029
NC Columbus	76100	14415	22.7	54749	0.3	13.8	14069	51.9	68.6	10.1	1955	25.7	71.3	169945
NC Craven	96600	18423	13.1	91436	-0.1	13.4	22496	49.5	82.1	19.3	1501	24.6	75.1	83850
NC Cumberland	88800	17376	12.8	302963	-1.2	7.7	84602	49.4	85	19.1	4409	27.9	73.1	103182
NC Currituck	115500	19908	10.7	18190	4.6	12	4607	50.3	77.6	13.3	204	25.3	73.7	39571
NC Dare	137200	23614	8	29967	4	13.8	6411	49.6	88.6	27.7	837	21.4	76.7	4961
NC Davidson	98600	18703	10.1	147246	1.7	12.8	35778	51	72	12.8	1786	24.3	75.4	98971
NC Davie	116200	21359	8.6	34835	3.9	13.8	8455	50.8	78.1	17.6	438	24.3	76.3	70579
NC Duplin	74800	14499	19.4	49063	0.8	12.9	12805	50.4	65.8	10.5	1346	26.1	72.3	238300
NC Durham	129000	23156	13.4	223314	1.7	9.7	51209	51.8	83	40.1	2306	22.9	74.3	22238
NC Edgecombe	70800	14435	19.6	55606	-1.5	12.5	15067	53.5	65.6	8.5	1971	27.1	71.1	171589
NC Forsyth	114000	23023	11	306067	1.3	12.6	73222	52.2	82	28.7	3440	23.9	74.6	51091
NC Franklin	101800	17562	12.6	47260	3.8	11	11958	50.7	73.6	13.2	583	25.3	73.6	136941
NC Gaston	90300	19225	10.9	190365	0.8	12.6	46874	51.6	71.4	14.2	3482	24.6	73.6	34860
NC Gates	77200	15963	17	10516	0.7	14.4	2803	51	71.4	10.5	124	26.7	73.5	62004
NC Graham	76100	14237	19.5	7993	0.3	18	1755	51.2	68.4	11.2	307	22	75.6	7194
NC Granville	100400	17118	11.7	48498	3.5	11.4	11588	47.5	73	13	681	23.9	72.7	161818
NC Greene	74300	15452	20.2	18974	1.2	12.1	4792	48.6	65.4	8.2	416	25.3	72.1	103201
NC Guilford	116900	23340	10.6	421048	1	11.8	99839	52.1	83	30.3	5160	23.7	74.7	111882
NC Halifax	68300	13810	23.9	57370	-1.2	14.9	15005	52.4	65.4	11.1	1573	26.2	71.3	185382
NC Harnett	91200	16775	14.9	91025	2.8	10.4	24540	50.6	75	12.8	1185	27	73.5	116004
NC Haywood	99100	18554	11.5	54033	1.1	19	11223	52.1	77.7	16	935	20.8	76.3	65212
NC Henderson	130100	21110	9.7	89173	2.3	21.7	18552	51.6	83.2	24.1	863	20.8	76.6	44511
NC Hertford	61700	15641	18.3	22601	-2.2	15.8	5723	54.1	65.6	11.1	397	25.3	71.8	76439
NC Hoke	83900	13635	17.7	33646	3.7	7.7	10031	49.5	73.5	10.9	799	29.8	73	66920
NC Hyde	76500	13164	15.4	5826	-2.1	16.4	1186	47.1	68.4	10.6	191	20.4	72.1	95327
NC Iredell	116100	21148	8.2	122660	3.9	12.4	31322	51	78.4	17.4	1420	25.5	74.9	156748
NC Jackson	106700	17582	15.1	33121	1.3	13.8	6297	51.2	78.8	25.5	604	19	76.5	18882
NC Johnston	108800	18788	12.8	121965	5.2	9.8	31824	50.3	75.9	15.9	1128	26.1	73.6	211011
NC Jones	75100	15916	16.9	10381	0.1	15.4	2665	51.8	72.2	9.5	238	25.7	72.3	71769
NC Lee	95100	19147	12.8	49040	0.5	12.9	12585	50.6	76.3	17.2	838	25.7	73.3	45205
NC Lenoir	82600	16744	16.6	59648	-0.6	14.6	15079	52.5	71.9	13.3	1848	25.3	72.1	149650
NC Lincoln	104500	18877	9.2	63780	1.9	11.5	15875	50.3	71.7	13	885	24.9	75.4	63177
NC McDowell	72000	16109	11.6	42151	1.5	14.3	9618	50.2	70.2	9	797	22.8	75.4	20680
NC Macon	103700	18642	12.6	29811	2.4	22.4	6063	52.1	77.3	16.2	494	20.3	77.9	22784
NC Madison	94600	16076	15.4	19635	1.7	15.9	4172	50.7	69.3	16.1	243	21.2	76.6	80041
NC Martin	68400	15102	20.2	25593	-0.9	15.2	6533	53.6	70.7	11.6	917	25.5	71.8	115202
NC Mecklenburg	141800	27352	9.2	695454	3	8.6	174249	50.9	86.2	37.1	7276	25.1	74.8	29015
NC Mitchell	78800	15933	13.8	15687	1.2	18.6	3321	51.1	68.6	12.2	452	21.2	76.1	25170
NC Montgomery	77200	16504	15.4	26822	0.3	14	6680	49.4	64.2	10	481	24.9	73.7	41792
NC Moore	131100	23377	11.4	74769	3.2	21.8	16541	51.8	82.6	26.8	1005	22.1	75.5	100668
